,C,R33,Q,FULL,FULL1,TRIPS,TRIPS1,TP,TPTK,LP,BOP,OP,RR,LRR,HRR,DRR,"AA,KK",WR,WR1,GS,GS1,SD
264,0,80,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
265,59,40,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
266,84,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1
267,6,81,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
268,10,46,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
269,7,25,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
270,9,31,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
271,0,100,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
272,95,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1
273,15,38,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1
274,19,76,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1
275,3,55,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1
276,65,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1
277,36,64,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1
278,54,24,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1
279,94,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1
280,99,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1
281,6,22,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
282,1,80,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
283,20,29,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
284,76,5,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
285,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1
286,19,49,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
287,21,42,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
288,3,36,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
289,3,43,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1
290,87,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1
291,15,18,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
