,C,R75,F,Q,FULL,FULL1,TRIPS,TRIPS1,TP,TPTK,LP,BOP,OP,RR,LRR,HRR,DRR
334,0,0,78,0,0,0,0,0,0,0,0,0,0,1,1,0,0
335,26,42,6,0,0,0,0,0,0,0,1,1,0,1,1,0,0
336,7,1,23,0,0,0,0,0,0,0,0,0,0,1,1,0,0
337,2,7,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0
338,0,0,71,0,0,0,0,0,0,0,0,0,0,1,1,0,0
339,1,0,62,0,0,0,0,0,0,0,0,0,0,1,1,0,0
340,1,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0
341,2,9,57,0,0,0,0,0,0,0,0,0,0,1,1,0,0
342,0,8,12,0,0,0,0,0,0,0,0,0,0,1,1,0,0
343,1,1,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0
344,5,0,75,0,0,0,0,0,0,0,0,0,0,1,1,0,0
345,1,1,24,0,0,0,0,0,0,0,0,0,0,1,1,0,0
346,0,7,75,0,0,0,0,0,0,0,0,0,0,1,1,0,0
347,0,0,61,0,0,0,0,0,0,0,0,0,0,1,1,0,0
348,0,0,67,0,0,0,0,0,0,0,0,0,0,1,1,0,0
349,1,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0
350,3,3,2,0,0,0,0,0,0,0,1,1,0,1,1,0,0
351,6,17,10,0,0,0,0,0,0,0,0,0,0,1,1,0,1
352,8,11,3,0,0,0,0,0,0,0,1,1,0,1,1,0,0
353,14,0,9,0,0,0,0,0,0,0,1,1,0,1,1,0,0
354,0,3,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0
355,12,3,14,0,0,0,0,0,0,0,0,0,0,1,1,0,0
356,1,1,57,0,0,0,0,0,0,0,0,0,0,1,1,0,0
357,1,0,99,0,0,0,0,0,0,0,0,0,0,1,1,0,0
358,7,25,17,0,0,0,0,0,0,0,0,0,0,1,1,0,0
359,2,1,92,0,0,0,0,0,0,0,0,0,0,1,1,0,0
360,18,7,32,0,0,0,0,0,0,0,0,0,0,1,1,0,0
361,0,0,82,0,0,0,0,0,0,0,0,0,0,1,1,0,0
362,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0
363,8,22,70,0,0,0,0,0,0,0,0,0,0,1,1,0,0
364,2,0,98,0,0,0,0,0,0,0,0,0,0,1,1,0,0
365,0,0,100,0,0,0,0,0,0,0,0,0,0,1,1,0,0
366,7,0,83,0,0,0,0,0,0,0,0,0,0,1,1,0,0
367,4,0,89,0,0,0,0,0,0,0,0,0,0,1,1,0,0
368,0,0,98,0,0,0,0,0,0,0,0,0,0,1,1,0,0
369,2,0,5,0,0,0,0,0,0,0,0,0,0,1,1,0,0
370,0,0,4,0,0,0,0,0,0,0,1,1,0,1,1,0,0
371,21,6,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1
372,2,2,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0
373,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0
374,9,14,14,0,0,0,0,0,0,0,0,0,0,1,1,0,0
375,7,0,86,0,0,0,0,0,0,0,0,0,0,1,1,0,0
376,5,0,95,0,0,0,0,0,0,0,0,0,0,1,1,0,0
