,F,C,R50
1092,0,66,0
1093,0,49,0
1094,0,53,0
1095,0,57,0
1096,0,59,0
1097,0,80,0
1098,0,81,0
1099,1,99,0
1100,0,90,0
1101,0,79,0
1102,0,48,0
1103,2,55,0
1104,0,34,0
1105,1,43,0
1106,0,68,0
1107,1,61,0
1108,1,56,0
1109,8,75,0
1110,0,87,0
1111,0,53,0
1112,3,33,0
1113,0,87,0
1114,0,60,0
1115,0,100,0
1116,0,79,0
1117,0,82,0
1118,0,84,0
1119,0,78,0
1120,0,63,0
1121,0,70,0
1122,0,59,0
1123,0,70,0
1124,0,83,0
1125,0,34,0
1126,0,85,0
1127,0,43,0
1128,0,74,0
1129,0,56,0
1130,0,52,0
1131,0,81,0
1132,0,77,0
1133,0,69,0
1134,0,45,0
1135,0,68,0
1136,0,74,0
1137,0,46,0
1138,1,50,0
1139,0,56,0
1140,0,82,0
1141,0,36,0
1142,0,38,0
1143,0,59,0
1144,0,56,0
1145,0,68,0
1146,0,62,0
1147,0,78,0
1148,0,25,0
1149,0,32,0
1150,0,68,0
1151,0,73,0
1152,0,71,0
1153,0,56,0
1154,0,44,0
1155,0,16,0
1156,0,90,0
1157,0,69,0
1158,0,60,0
1159,0,42,0
1160,0,80,0
1161,0,84,0
1162,0,65,0
1163,2,98,0
1164,0,95,0
1165,0,96,0
1166,0,99,0
1167,0,90,0
1168,0,58,0
1169,0,47,0
1170,0,54,0
1171,0,19,3
1172,0,31,6
1173,0,12,15
1174,0,28,1
1175,0,8,6
1176,0,15,7
1177,0,14,0
1178,0,16,4
1179,0,25,4
1180,0,8,4
1181,0,8,17
1182,0,32,10
1183,0,1,5
1184,0,9,4
1185,0,36,14
1186,0,0,1
1187,0,4,2
1188,0,47,2
1189,0,35,3
1190,0,23,0
1191,0,4,9
1192,0,61,0
1193,0,24,0
1194,0,3,9
1195,0,20,0
1196,0,27,6
1197,0,1,10
1198,0,36,1
1199,0,6,24
1200,0,24,3
1201,0,15,3
1202,0,22,1
1203,0,11,6
1204,0,28,5
1205,0,28,0
1206,0,18,13
1207,0,9,8
1208,0,30,9
1209,0,2,3
1210,0,8,18
1211,0,3,1
1212,0,10,0
1213,0,11,0
1214,0,52,3
1215,0,14,8
1216,0,29,12
1217,0,7,17
1218,0,0,1
1219,0,3,4
1220,0,22,1
1221,0,29,5
1222,0,3,4
1223,0,6,5
1224,0,11,6
1225,0,0,1
1226,0,17,2
1227,0,30,8
1228,0,11,0
1229,0,30,2
1230,0,43,8
1231,0,19,20
1232,0,1,14
1233,0,25,0
1234,0,21,2
1235,0,0,13
1236,0,2,1
1237,66,0,0
1238,39,0,0
1239,18,0,0
1240,56,0,0
1241,61,0,0
1242,27,0,0
1243,31,0,0
1244,53,0,0
1245,47,0,0
1246,100,0,0
1247,100,0,0
1248,65,2,0
1249,89,11,0
1250,58,42,0
1251,100,0,0
1252,100,0,0
1253,34,2,0
1254,0,92,0
1255,73,3,0
1256,83,3,0
1257,100,0,0
1258,97,3,0
1259,21,0,0
1260,0,100,0
1261,99,1,0
1262,92,8,0
1263,96,3,0
1264,87,1,0
1265,21,0,0
1266,29,0,0
1267,1,0,0
1268,32,0,0
1269,48,0,0
1270,42,0,0
1271,41,0,0
1272,43,0,0
1273,100,0,0
1274,100,0,0
1275,100,0,0
1276,69,0,0
1277,56,32,0
1278,97,3,0
1279,96,0,0
1280,100,0,0
1281,28,0,0
1282,100,0,0
1283,20,65,0
1284,100,0,0
1285,51,0,0
1286,14,0,0
1287,100,0,0
1288,93,7,0
1289,95,5,0
1290,22,0,0
1291,24,0,0
1292,17,1,0
1293,44,0,0
1294,36,1,0
1295,37,0,0
1296,37,0,0
1297,28,0,0
1298,6,6,0
1299,1,0,0
1300,28,0,0
1301,34,3,0
1302,0,100,0
1303,97,3,0
1304,82,11,0
1305,100,0,0
1306,100,0,0
1307,83,0,0
1308,97,0,0
1309,98,2,0
1310,33,0,0
1311,87,0,0
1312,100,0,0
1313,100,0,0
1314,80,15,0
1315,7,1,0
1316,13,0,0
1317,73,2,0
1318,83,5,0
1319,100,0,0
1320,53,0,0
1321,36,0,0
1322,0,45,0
1323,32,0,0
1324,14,0,0
1325,15,0,0
1326,9,0,0
1327,48,0,0
1328,49,0,0
1329,33,0,0
1330,29,0,0
1331,39,4,0
1332,26,0,0
1333,38,1,0
1334,23,0,0
1335,2,4,0
1336,53,0,0
1337,51,0,0
1338,0,100,0
1339,100,0,0
1340,100,0,0
1341,75,0,0
1342,92,8,0
1343,80,20,0
1344,68,32,0
1345,99,0,0
1346,44,0,0
1347,100,0,0
1348,100,0,0
1349,70,0,0
1350,61,0,0
1351,96,4,0
1352,70,27,0
1353,66,22,0
1354,100,0,0
1355,48,0,0
1356,79,0,0
1357,45,0,0
1358,0,59,0
1359,36,15,0
1360,29,0,0
1361,52,0,0
1362,25,1,0
1363,3,0,0
1364,10,1,0
1365,5,3,1
1366,30,1,0
1367,37,0,0
1368,40,0,0
1369,42,0,0
1370,38,0,0
1371,37,0,0
1372,30,0,0
1373,60,0,0
1374,23,0,0
1375,91,0,0
1376,49,0,0
1377,58,0,0
1378,88,0,0
1379,50,0,0
1380,80,0,0
1381,70,0,0
1382,99,0,0
1383,100,0,0
1384,100,0,0
1385,86,0,0
1386,51,0,0
1387,0,100,0
1388,81,0,0
1389,77,0,0
1390,81,0,0
1391,69,0,0
1392,41,0,0
1393,49,0,0
1394,0,70,0
1395,98,0,0
1396,69,0,0
1397,77,0,0
1398,60,0,0
1399,62,0,0
1400,60,0,0
1401,67,0,0
1402,96,0,0
1403,75,0,0
1404,86,0,0
1405,97,0,0
1406,100,0,0
1407,68,0,0
1408,100,0,0
1409,100,0,0
1410,94,0,0
1411,64,0,0
1412,80,0,0
1413,92,0,0
1414,100,0,0
1415,100,0,0
1416,100,0,0
1417,97,0,0
1418,49,2,0
1419,0,91,0
1420,80,0,0
1421,69,0,0
1422,100,0,0
1423,100,0,0
1424,97,0,0
1425,100,0,0
1426,100,0,0
1427,100,0,0
1428,57,0,0
1429,69,1,0
1430,0,98,0
1431,100,0,0
1432,90,0,0
1433,84,0,0
1434,97,0,0
1435,100,0,0
1436,100,0,0
1437,100,0,0
1438,100,0,0
1439,60,2,0
1440,18,21,0
