,C,R50
2087,1,5
2088,27,4
2089,0,19
2090,38,2
2091,19,21
2092,30,4
2093,4,43
2094,58,0
2095,48,1
2096,2,0
2097,5,1
2098,2,13
2099,3,11
2100,23,2
2101,14,11
2102,21,24
2103,3,12
2104,4,1
2105,1,0
2106,1,0
2107,2,9
2108,15,18
2109,28,11
2110,14,31
2111,11,0
2112,8,4
2113,27,14
2114,9,2
2115,4,0
2116,60,7
2117,55,0
2118,0,12
2119,8,36
2120,10,1
2121,8,1
2122,49,0
2123,3,5
2124,16,27
2125,47,0
2126,63,2
2127,1,10
2128,13,10
2129,1,0
2130,30,0
2131,0,1
2132,2,4
2133,28,0
2134,30,0
2135,39,0
2136,0,24
