,F,C,R75
1589,0,0,90
1590,0,9,23
1591,0,3,25
1592,0,1,53
1593,0,7,90
1594,0,9,65
1595,0,3,1
1596,1,38,42
1597,0,14,52
1598,0,30,33
1599,0,0,52
1600,0,45,0
1601,0,41,0
1602,1,43,0
1603,0,45,0
1604,1,74,0
1605,0,100,0
1606,0,96,0
1607,0,97,0
1608,0,96,4
1609,0,95,0
1610,0,96,0
1611,0,30,8
1612,0,39,0
1613,0,28,11
1614,1,19,0
1615,0,1,0
1616,1,84,0
1617,0,97,0
1618,0,100,0
1619,0,100,0
1620,0,100,0
1621,0,98,2
1622,0,1,0
1623,0,96,4
1624,0,84,11
1625,0,68,18
1626,0,97,0
1627,0,76,2
1628,0,99,1
1629,0,99,0
1630,0,79,0
1631,0,94,1
1632,0,77,0
1633,0,99,1
1634,0,98,0
1635,0,100,0
1636,0,89,0
1637,0,77,0
1638,0,81,0
1639,0,86,6
1640,0,100,0
1641,0,89,0
1642,0,92,0
1643,0,99,0
1644,0,98,0
1645,0,99,0
1646,0,0,1
1647,2,34,50
1648,7,18,55
1649,7,72,7
1650,1,16,49
1651,32,45,22
1652,28,1,0
1653,15,33,15
1654,0,0,82
1655,2,72,0
1656,39,31,18
1657,2,79,0
1658,15,65,3
1659,1,16,7
1660,3,46,50
